carat,color,clarity,cut,table,depth,measurements,price
1.01,E,SI2,Excellent,57 %,62.8 %,6.37x6.4x4.01,"$4,026"
1.0,G,SI1,Excellent,58 %,62.8 %,6.27x6.36x3.97,"$3,599"
1.01,F,SI2,Excellent,56 %,62.4 %,6.37x6.41x3.99,"$4,031"
1.02,K,SI1,Excellent,57 %,62.9 %,6.36x6.4x4.01,"$2,837"
1.0,K,SI2,Excellent,58 %,62.9 %,6.33x6.38x4.0,"$2,228"
1.0,J,SI2,Excellent,57 %,62.7 %,6.33x6.36x3.98,"$2,865"
1.01,E,SI1,Excellent,57 %,62.9 %,6.35x6.4x4.01,"$5,168"
1.01,I,SI1,Excellent,60 %,60.8 %,6.44x6.47x3.92,"$3,476"
1.01,J,SI1,Excellent,58 %,62.4 %,6.36x6.4x3.98,"$3,174"
0.91,F,FL/IF,Excellent,58 %,60.2 %,6.31x6.34x3.81,"$7,935"
0.93,D,FL/IF,Excellent,55 %,60.7 %,6.31x6.35x3.84,"$11,328"
1.01,G,SI2,Very Good,58 %,64.2 %,6.25x6.33x4.04,"$3,078"
1.0,I,SI1,Excellent,57 %,62.8 %,6.35x6.38x3.99,"$3,462"
1.0,I,VS2,Excellent,56 %,63.3 %,6.33x6.37x4.02,"$3,465"
1.25,J,SI2,Excellent,60 %,61.4 %,6.9x6.94x4.25,"$3,093"
1.0,F,SI2,Excellent,61 %,61.9 %,6.36x6.4x3.95,"$3,723"
1.0,J,VS2,Excellent,58 %,62.8 %,6.29x6.37x3.97,"$3,026"
1.01,E,SI2,Excellent,59 %,62.8 %,6.36x6.39x4.0,"$4,212"
1.0,G,SI1,Excellent,57 %,63.0 %,6.3x6.37x3.99,"$3,156"
1.01,H,SI2,Excellent,61 %,62.2 %,6.35x6.4x3.97,"$3,338"
1.1,I,VS2,Excellent,58 %,62.9 %,6.53x6.58x4.12,"$4,544"
1.01,G,VS2,Excellent,59 %,61.5 %,6.41x6.45x3.96,"$4,934"
1.11,E,SI1,Excellent,56 %,62.7 %,6.59x6.61x4.14,"$5,622"
1.01,I,VS2,Excellent,61 %,61.7 %,6.41x6.44x3.96,"$4,082"
1.01,I,SI1,Excellent,57 %,62.6 %,6.37x6.41x4.0,"$3,867"
1.01,E,SI1,Excellent,58 %,62.1 %,6.41x6.46x3.99,"$5,499"
1.01,F,VS2,Excellent,56 %,62.8 %,6.35x6.38x4.0,"$6,381"
1.01,I,VS2,Excellent,58 %,62.8 %,6.37x6.41x4.01,"$3,935"
1.22,H,SI1,Excellent,58 %,62.6 %,6.76x6.81x4.25,"$5,076"
1.0,D,SI1,Excellent,58 %,62.9 %,6.31x6.36x3.98,"$5,276"
1.0,K,SI1,Excellent,54 %,62.9 %,6.34x6.37x4.0,"$2,445"
1.01,F,VS2,Excellent,56 %,62.1 %,6.4x6.42x3.98,"$5,390"
1.0,G,SI1,Excellent,58 %,60.7 %,6.42x6.45x3.91,"$4,298"
1.0,H,VS2,Very Good,56 %,65.2 %,6.15x6.22x4.03,"$3,369"
1.01,F,SI1,Excellent,56 %,62.8 %,6.37x6.4x4.01,"$4,959"
1.02,E,VS2,Excellent,58 %,61.6 %,6.46x6.5x3.99,"$7,257"
1.01,F,SI1,Excellent,59 %,62.1 %,6.35x6.4x3.96,"$5,177"
1.2,J,VS2,Excellent,58 %,62.4 %,6.75x6.79x4.22,"$3,789"
1.0,F,VS2,Excellent,55 %,62.9 %,6.33x6.37x3.99,"$5,115"
1.02,J,VS2,Excellent,58 %,62.7 %,6.37x6.4x4.0,"$2,999"
1.0,E,SI1,Excellent,55 %,63.4 %,6.3x6.38x4.02,"$4,065"
1.1,D,VS2,Excellent,56 %,62.7 %,6.52x6.56x4.1,"$7,587"
1.01,L,VS2,Excellent,58 %,62.0 %,6.38x6.42x3.97,"$2,327"
1.07,D,VS2,Excellent,57 %,62.4 %,6.51x6.53x4.07,"$8,280"
1.0,L,VS2,Very Good,58 %,64.5 %,6.15x6.23x3.99,"$2,097"
1.2,I,VS1,Excellent,58 %,62.5 %,6.73x6.77x4.22,"$5,180"
1.01,G,VS2,Excellent,56 %,62.1 %,6.4x6.44x3.99,"$5,309"
1.02,F,VS2,Excellent,58 %,62.8 %,6.37x6.4x4.01,"$6,086"
1.23,G,VS1,Excellent,58 %,62.3 %,6.79x6.83x4.24,"$8,324"
1.01,G,VS1,Excellent,57 %,62.6 %,6.38x6.4x4.0,"$6,612"
1.0,G,VS2,Excellent,57 %,63.1 %,6.29x6.36x3.99,"$4,836"
1.06,G,VS1,Excellent,59 %,62.1 %,6.51x6.55x4.05,"$6,825"
1.0,H,VS2,Excellent,57 %,62.4 %,6.34x6.38x3.97,"$4,721"
1.01,E,VS1,Very Good,56 %,64.8 %,6.21x6.28x4.04,"$5,474"
1.01,F,VS2,Excellent,58 %,62.4 %,6.38x6.42x3.99,"$6,333"
1.0,H,VS2,Excellent,56 %,61.5 %,6.41x6.44x3.95,"$4,808"
1.0,E,VS1,Excellent,58 %,62.9 %,6.32x6.37x3.99,"$7,529"
1.01,D,VS2,Excellent,57 %,62.6 %,6.35x6.39x3.99,"$7,397"
1.17,D,VS1,Excellent,60 %,59.6 %,6.86x6.91x4.1,"$10,280"
1.01,L,VS1,Very Good,58 %,64.4 %,6.19x6.28x4.02,"$2,324"
1.0,D,VS2,Excellent,59 %,62.2 %,6.36x6.39x3.97,"$7,362"
1.0,F,VS1,Excellent,57 %,63.0 %,6.32x6.36x4.0,"$7,349"
1.08,F,VS2,Excellent,59 %,62.6 %,6.51x6.53x4.08,"$5,667"
1.1,D,VS1,Excellent,58 %,62.5 %,6.55x6.6x4.11,"$9,501"
1.03,D,VS1,Excellent,58 %,62.4 %,6.42x6.44x4.01,"$6,236"
1.01,E,VS1,Excellent,56 %,62.6 %,6.37x6.41x4.0,"$10,077"
1.0,I,VS1,Excellent,58 %,62.8 %,6.31x6.36x3.98,"$3,290"
1.01,E,VS2,Excellent,61 %,61.5 %,6.41x6.45x3.96,"$5,253"
1.01,H,VS1,Excellent,58 %,61.6 %,6.39x6.43x3.95,"$4,937"
1.01,D,VS1,Excellent,57 %,62.1 %,6.37x6.41x3.97,"$8,969"
1.01,E,VS2,Excellent,56 %,62.5 %,6.38x6.42x4.0,"$6,728"
1.21,G,VVS2,Excellent,58 %,62.5 %,6.75x6.79x4.23,"$8,897"
1.21,G,VS1,Excellent,59 %,62.1 %,6.79x6.83x4.23,"$6,623"
1.1,G,VVS2,Excellent,59 %,59.6 %,6.69x6.72x4.0,"$7,892"
1.0,G,VS1,Excellent,56 %,63.7 %,6.3x6.34x4.03,"$6,212"
1.0,K,VS1,Excellent,60 %,62.3 %,6.32x6.4x3.96,"$2,561"
1.0,E,VS1,Excellent,58 %,61.2 %,6.43x6.47x3.95,"$7,266"
1.01,F,VVS2,Excellent,59 %,61.6 %,6.42x6.45x3.96,"$8,708"
1.01,F,VS1,Excellent,56 %,62.9 %,6.35x6.39x4.01,"$6,389"
1.06,D,VVS2,Excellent,57 %,62.7 %,6.47x6.51x4.07,"$10,574"
1.1,G,VVS1,Excellent,56 %,62.7 %,6.54x6.58x4.11,"$8,966"
1.1,E,VVS2,Excellent,56 %,62.4 %,6.58x6.61x4.11,"$9,938"
1.0,G,VVS1,Excellent,55 %,63.3 %,6.29x6.37x4.01,"$6,242"
1.01,E,VS1,Excellent,57 %,62.1 %,6.4x6.44x3.99,"$10,077"
1.02,F,VS1,Excellent,58 %,62.4 %,6.39x6.43x4.0,"$8,931"
1.01,L,VVS1,Excellent,55 %,62.7 %,6.38x6.41x4.01,"$2,892"
1.01,D,VVS2,Excellent,59 %,61.4 %,6.42x6.46x3.95,"$7,296"
1.01,E,VVS1,Excellent,57 %,62.8 %,6.36x6.4x4.0,"$12,141"
1.1,H,VVS1,Excellent,56 %,62.8 %,6.54x6.58x4.12,"$6,315"
1.2,E,VS1,Excellent,58 %,62.4 %,6.75x6.79x4.22,"$9,702"
1.05,J,VVS1,Excellent,57 %,62.6 %,6.48x6.49x4.06,"$3,359"
1.01,E,VS1,Very Good,57 %,64.4 %,6.2x6.28x4.02,"$5,723"
1.2,F,VVS1,Excellent,58 %,62.2 %,6.76x6.8x4.21,"$8,886"
1.01,D,VVS1,Excellent,59 %,60.2 %,6.47x6.49x3.9,"$10,502"
1.02,G,VVS2,Excellent,56 %,62.7 %,6.39x6.43x4.02,"$7,305"
1.05,F,VVS1,Excellent,57 %,62.6 %,6.44x6.48x4.04,"$8,943"
1.06,F,VVS1,Excellent,58 %,62.4 %,6.5x6.54x4.06,"$10,682"
1.01,D,VS1,Excellent,58 %,62.6 %,6.35x6.39x3.98,"$8,972"
1.01,F,VVS1,Excellent,58 %,61.9 %,6.41x6.45x3.98,"$10,091"
1.08,D,VVS1,Excellent,59 %,60.3 %,6.64x6.67x4.01,"$11,138"
1.1,E,VVS2,Excellent,58 %,61.5 %,6.63x6.66x4.09,"$7,872"
1.07,D,VVS1,Excellent,58 %,62.7 %,6.51x6.55x4.09,"$14,096"
1.03,F,FL/IF,Excellent,56 %,62.8 %,6.41x6.45x4.04,"$10,260"
1.1,D,FL/IF,Excellent,56 %,62.6 %,6.56x6.6x4.12,"$18,675"
1.0,E,VVS2,Excellent,59 %,62.3 %,6.35x6.38x3.97,"$8,715"
1.2,F,VVS1,Excellent,57 %,61.9 %,6.78x6.81x4.21,"$12,342"
1.81,D,FL/IF,Excellent,56 %,62.8 %,7.74x7.78x4.87,"$44,823"
1.51,D,SI1,Excellent,58 %,62.9 %,7.26x7.31x4.58,"$12,585"
1.24,H,VVS1,Excellent,58 %,62.2 %,6.86x6.88x4.28,"$7,485"
1.5,K,SI1,Excellent,56 %,62.8 %,7.26x7.31x4.58,"$5,450"
1.5,E,SI2,Excellent,56 %,63.7 %,7.2x7.25x4.6,"$9,621"
1.01,E,FL/IF,Excellent,55 %,62.1 %,6.41x6.45x4.0,"$12,461"
1.01,H,VVS1,Excellent,56 %,62.9 %,6.36x6.4x4.01,"$5,853"
1.51,I,SI1,Excellent,59 %,60.0 %,7.42x7.46x4.46,"$8,493"
1.5,F,VS2,Excellent,57 %,62.9 %,7.24x7.29x4.57,"$15,614"
1.51,M,VS2,Very Good,63 %,60.9 %,7.26x7.32x4.44,"$4,130"
1.53,F,SI2,Excellent,58 %,62.6 %,7.29x7.34x4.58,"$8,903"
1.5,M,VS1,Excellent,60 %,62.2 %,7.29x7.34x4.55,"$4,788"
1.51,F,SI1,Excellent,55 %,62.8 %,7.29x7.33x4.59,"$14,047"
1.51,J,VS1,Very Good,58 %,63.8 %,7.15x7.23x4.59,"$6,163"
1.51,F,VS1,Excellent,57 %,62.6 %,7.3x7.33x4.58,"$19,847"
1.52,F,VS2,Excellent,57 %,62.8 %,7.28x7.33x4.59,"$15,817"
1.51,F,VS1,Excellent,57 %,63.2 %,7.24x7.29x4.6,"$17,615"
1.51,G,VS2,Excellent,58 %,62.7 %,7.26x7.31x4.57,"$11,714"
1.57,G,VVS2,Excellent,56 %,62.8 %,7.36x7.41x4.64,"$18,286"
1.7,D,VS1,Excellent,60 %,61.1 %,7.65x7.69x4.69,"$23,930"
1.5,M,VS1,Excellent,57 %,62.8 %,7.24x7.29x4.57,"$4,857"
1.5,G,VS1,Excellent,58 %,62.9 %,7.22x7.27x4.56,"$15,411"
1.51,D,VVS2,Excellent,58 %,62.7 %,7.28x7.33x4.58,"$22,929"
1.5,I,VVS1,Excellent,57 %,62.9 %,7.2x7.3x4.56,"$7,994"
1.51,G,VVS2,Excellent,59 %,62.7 %,7.27x7.32x4.58,"$16,467"
1.57,F,VVS1,Excellent,59 %,62.2 %,7.36x7.41x4.6,"$17,962"
1.82,H,FL/IF,Excellent,56 %,62.7 %,7.76x7.79x4.88,"$17,524"
2.41,D,FL/IF,Excellent,59 %,60.5 %,8.62x8.67x5.23,"$100,160"
1.51,D,FL/IF,Excellent,59 %,60.9 %,7.38x7.39x4.5,"$33,857"
2.0,F,SI1,Excellent,57 %,62.7 %,7.97x8.01x5.01,"$21,973"
2.01,I,SI1,Excellent,56 %,62.3 %,8.03x8.07x5.01,"$14,558"
2.01,E,VS2,Excellent,58 %,62.8 %,7.97x8.02x5.02,"$30,809"
2.02,H,VS1,Excellent,59 %,61.6 %,8.1x8.14x5.0,"$24,034"
2.6,H,VS1,Excellent,56 %,62.4 %,8.73x8.79x5.47,"$40,026"
2.52,E,SI1,Excellent,61 %,60.1 %,8.76x8.81x5.28,"$30,632"
2.52,D,VVS1,Excellent,57 %,62.8 %,8.61x8.67x5.42,"$53,046"
2.03,H,FL/IF,Excellent,56 %,62.4 %,8.07x8.09x5.04,"$30,277"
2.28,K,FL/IF,Excellent,57 %,62.7 %,8.33x8.38x5.24,"$17,297"
2.0,H,VVS2,Excellent,56 %,62.2 %,8.04x8.08x5.01,"$24,457"
3.01,E,VS2,Excellent,56 %,62.4 %,9.15x9.21x5.72,"$73,202"
3.01,J,SI1,Excellent,60 %,61.7 %,9.2x9.25x5.69,"$34,103"
5.63,D,FL/IF,Excellent,58 %,62.5 %,11.26x11.33x7.06,"$548,357"
5.02,K,SI2,Excellent,61 %,61.3 %,10.96x11.03x6.75,"$55,935"
0.91,J,VS2,Excellent,57 %,62.7 %,6.16x6.20x3.88,"$2,138"
0.91,G,VVS1,Excellent,57 %,62.8 %,6.13x6.17x3.86,"$5,463"
0.83,G,VVS1,Excellent,57 %,61.8 %,5.98x6.02x3.71,"$3,932"
0.9,H,VS2,Excellent,57 %,63.1 %,6.10x6.13x3.86,"$2,708"
0.8,D,VS1,Excellent,58 %,62.6 %,5.89x5.93x3.70,"$3,680"
