carat,cut,color,clarity,depth,table,price,measurements
1.00,Excellent,E,SI1,62.8,56.0,"$4,471",6.35x6.39x4 mm
1.16,Excellent,D,SI1,62.9,56.0,"$6,264",6.67x6.7x4.2 mm
1.04,Excellent,H,IF,62.4,58.0,"$5,735",6.44x6.47x4.03 mm
1.01,Excellent,D,VS2,62.7,58.0,"$6,826",6.36x6.41x4 mm
0.80,Excellent,D,VVS1,59.5,62.0,"$7,085",6.02x6.05x3.59 mm
1.05,Excellent,H,VS2,62.5,56.0,"$4,720",6.46x6.5x4.05 mm
1.01,Excellent,D,SI1,63.4,56.0,"$5,724",6.35x6.38x4.03 mm
1.10,Excellent,D,VS2,62.4,56.0,"$7,387",6.58x6.6x4.11 mm
1.10,Excellent,F,SI1,62.5,56.0,"$5,281",6.56x6.6x4.11 mm
1.00,Excellent,H,VVS1,62.4,56.0,"$5,314",6.35x6.39x3.98 mm
1.01,Excellent,G,VS2,62.6,56.0,"$5,022",6.39x6.41x4.01 mm
0.82,Excellent,D,IF,61.8,58.0,"$7,538",6.01x6.04x3.72 mm
1.01,Excellent,D,SI1,61.1,58.0,"$5,670",6.47x6.51x3.97 mm
